_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE
48476,2010-07-16,,"Proposal to erect a 11 sty mixed use building containg 152 units (9- live/work units on gorund floor and 143 residential units above), retail at grade and 3 levels of below grade parking.",336.0,,2012-09-11,10 222037,New Building,   ,0,Inspection, ,DOVERCOURT,40,RD,Mixed Use/Res w Non Res
48477,2010-07-23,2012-09-26,"Construct  new police service facility w/ 2 storey below grade parking and detention centre and 2 storey above grade office area. - See 10 162657 ZPR for PPR and 10 190749 STE 18 SA for SPA.
Separate sprinkler permit required - charged on this permit",1220,0.0,2011-04-13,10 227495,New Building,M6J,0,Closed, ,ST ANNES,11,RD,Multiple Use/Non Residential
48478,2010-08-17,,"Construct 46-storey mixed-use building containing 588 dwelling units, commercial at grade and 6 levels below grade.",620,,2013-06-21,10 240746,New Building,M5V,0,Inspection,W,ADELAIDE,295,ST,Mixed Use/Res w Non Res
48479,2010-08-20,2012-12-13,"Proposal to install green roof on top of existing community hall ""Riverdale Immigrant Women Enterprises"" (131.60m2).",131.6,,2010-10-04,10 243442,Building Additions/Alterations,M4L,0,Closed,E,GERRARD,1326,ST,Community Hall
48480,2010-09-10,2019-01-23,"New mixed use building (with Hotel and Retail uses). 46 Storey Hotel. 567 rooms - 3 levels of underground parking - 366 parking spaces total (hotel 153 spaces, office 213 spaces). 
PLEASE NOTE THAT UNDERGROUND PARKING GARAGE WILL SERVICE HOTEL BUILDING AS WELL AS NEW OFFICE BUILDING TO BE APPLIED FOR AT A LATER DATE ON THE SAME SITE",1051.9,988.7,2014-01-23,10 255756,New Building,   ,0,Closed, ,BREMNER,120,BLVD,Mixed Use/Res w Non Res
48481,2010-10-06,,"New 27 storey residential tower with 318 units and 5 levels of under ground parking. 
Increased to 33 storeys and 402 units and 5 levels of underground parking.",744.9,10.5,2013-10-02,10 272513,New Building,   ,0,Inspection, ,YORKLAND,275,RD,Apartment Building
48482,2010-10-12,2011-09-12,Installation of a green roof on the addition constructed under permit 06-164920 BLD,152,,2010-11-12,10 275713,Small Residential Projects,M6S,0,Closed, ,MOSSOM,1,PL,SFD - Detached
48483,2011-08-09,2011-09-12,"Revision 01: revision to roof end detail.
(Installation of a green roof on the addition constructed under permit 06-164920 BLD)",152,,2011-08-15,10 275713,Small Residential Projects,M6S,1,Closed, ,MOSSOM,1,PL,SFD - Detached
48484,2010-10-22,2011-10-31,Proposal to construct a green roof atop an existing detached garage.  See related permit 10 175351 BLD.,60.9,,2010-11-05,10 282856,Small Residential Projects,M4T,0,Closed, ,HARPER,55,AVE,SFD - Detached
48485,2010-10-28,,"Proposal to construct Phase 1 of 3-phase project: 22 storey apartment building  (Tower 'A') with 216 residential units with (1) level of underground and (3) levels above grade parking. 
TOWNHOUSES NOT PART OF THIS PERMIT",581.5,0.0,2012-07-25,10 286777,New Building,M9B,0,Inspection, ,VALHALLA INN,1,RD,Apartment Building
48486,2010-11-08,2019-04-17,"TTC Transit Facility , York University Subway Station in support of the Toronto York Spadina Subway Extension ( TYSSE) York University Station.",360,190.5,2017-06-16,10 292819,New Building,   ,0,Closed, ,IAN MACDONALD,120,BLVD,"Transit Station,Subway, Bus Terminal"
48487,2010-11-19,,"Proposal to construct a new eight storey mixed use building.  Building comprised of 82 residential units, ground floor retail use and three below grade parking facilities.  See also 10 165672 STE and 10 247123 MV.",263.40,0.0,2011-10-17,10 299666,New Building,M5A,0,Inspection, ,EASTERN,2,AVE,Mixed Use/Res w Non Res
48488,2010-11-22,2013-02-06,"Addition to existing sfd, decks, green roof, detached garage and pool house on consolidated lot",71.72,,2010-12-23,10 300519,Small Residential Projects,M4N,0,Closed, ,PLYMBRIDGE,10,RD,SFD - Detached
48489,2010-12-16,2016-02-09,"Proposal to construct a 12 sty condo with 334 residential units, commercial on ground floor, and 4 levels of below grade parking.  ""Fashion House"". Two Towers; One facing King St West and other one facing Adelaide St West.",1541,,2013-05-02,10 315385,New Building,M5V,0,Closed,W,KING,560,ST,Mixed Use/Res w Non Res
48490,2010-12-16,,"Proposal to construct a 12 sty condo with 87 residential units,  and 1 community facility space at grade.",138.29,0.0,2012-01-18,10 315822,New Building,M5V,0,Inspection, ,CAMDEN,32,ST,Mixed Use/Res w Non Res
48491,2010-12-17,2018-06-29,"Proposal to construct a 14 sty condo with retail on ground floor, 4 levels of below grade parking, and 244 residential units.  ""Fuzion Condo"".",716.70,0.0,2013-12-20,10 316687,New Building,   ,0,Closed, ,JOE SHUSTER,20,WAY,Mixed Use/Res w Non Res
48492,2011-01-18,,12 storey condominium with ground floor retail,390,0.0,2012-10-10,11 108543,New Building,   ,0,Inspection,W,THE DONWAY,85, ,Apartment Building
48493,2011-02-18,,"Proposal for multiple projects to an existing 3 storey SFD-detached dwelling.  Scope of work includes the construction of a 2 storey rear addition, a third floor addition with a dormer enlargement, interior alterations to all floors, new rear deck, and a detached garage with a green roof at the rear of the site.  See also 10 229213 ZZC, 10 277744 MV and Final and BindingA0855/10TEY.",41.0,,2011-03-22,11 129874,Small Residential Projects,M6G,0,Inspection, ,CLINTON,421,ST,SFD - Detached
48494,2011-02-24,2020-03-09,"New One Storey Banquet Hall Building with Mezzanine including HVAC, Plumbing and Site Services",523.6,0.0,2014-03-25,11 132392,New Building,   ,0,Closed, ,MCNICOLL,3895,AVE,Restaurant Greater Than 30 Seats
48495,2011-03-11,,"Proposal to construct 2 condo buildings (1-7 sty & 1- 16 sty) with link, commercial on ground floor, 349 residential units, and no below grade parking.  West Don lands PHASE 1 (Block 4 West & Block 3).",2063,,2012-07-17,11 142921,New Building,   ,0,Inspection,E,KING,635,ST,Mixed Use/Res w Non Res
48496,2011-03-17,,This is for the Fort York lands known as 100 Garrison Road and 800 Fleet Street to permit the construction of a two storey Visitor Centre complete with roof terrace and related commercial uses to include a gift shop and a restaurant with more than 30 seats. There is also a parking area for approx. 60 vehicles and bus parking located south of the building. ,729.6,0.0,2013-05-29,11 147390,New Building,M5V,0,Inspection, ,GARRISON,100,RD,Other
48497,2011-03-25,2014-12-03,Thorncliffe Park Relief School - Two storey addition,1032,742.0,2012-06-06,11 154403,Building Additions/Alterations,M4H,0,Closed, ,THORNCLIFFE PARK,80,DR,Elementary School
48498,2011-04-21,,Permit to construct new 11 storey residential condo building - 96 residential suites - 3 levels below grade parking - 64 parking spaces including visitor spaces - 10 bicycle parking spaces. - see 10 189510 STE 20 SA for siteplan - 11 169993 MV of C of A.,140,0.0,2015-06-22,11 180260,New Building,M5T,0,Inspection, ,BEVERLEY,15,ST,Apartment Building
48499,2011-05-04,2013-09-19,"Convenience address is 230 Sackville St
Permit to construct new 10 storey mixed use building with commercial at grade, office on second floor.  Remainng floors are residential.  155 residential units - 2 levels below grade parking - 105 parking spaces. 190 Bicycle parking spaces.",986,,2013-05-31,11 187152,New Building,M5T,0,Closed,E,DUNDAS,591,ST,Mixed Use/Res w Non Res
48500,2011-05-09,,"(Phase 2 of 3, Tower B) Proposed new 35 storey apartment building with 329 units plus 7 units on podium TOTAL UNITS 336, two levels of below grade parking and three levels of above grade parking.
SEPARATE TOWNHOUSE BLOCKS NOT PART OF THIS PERMIT",695,,2013-02-21,11 190549,New Building,M9B,0,Inspection, ,VALHALLA INN,1,RD,Apartment Building
48501,2011-05-12,,CONVENIENCE ADDRESS IS 402 SHUTER - Permit to construct new City of Toronto Community Centre - 2 Stories - Regent Park Community Centre.,1442,,2013-08-30,11 193106,New Building,M5T,0,Inspection,E,DUNDAS,591,ST,Other
48502,2011-05-24,,Construct banquet hall - shell only BLDG A,431.5,0.0,2015-03-05,11 201329,New Building,   ,0,Inspection, ,IRONSIDE,30,CRES,Restaurant Greater Than 30 Seats
48503,2011-06-10,2016-11-23,"Permit to construct a new 47 storey mixed-use building comprised of  234 residential dwelling units,  644m2 of commercial space and 100 parking spaces including 4 car share spaces.",277.33,0.0,2013-12-19,11 216050,New Building,   ,0,Closed,W,KING,224,ST,Mixed Use/Res w Non Res
48504,2011-06-14,2013-04-02,construct a two (2) storey shell building cladded with precast,324,0.0,2011-10-31,11 218683,New Building,   ,0,Closed, ,MARKHAM,3115,RD,Industrial
48505,2011-06-24,,PHASE 1 - Permit to construct new 31 storey building with ground floor community space - 337 residentail units - 485 parking spaces (PHASE 1 and Partial PHASE  2 and visitor parking spaces) - 5 levels below grade parking. - 396 Bicycle parking spaces.,473,0.0,,11 221432,New Building,M5V,0,Issuance Pending,W,RICHMOND,199,ST,Mixed Use/Res w Non Res
48506,2011-06-21,," Construct a one-storey, 4,112 square metre addition to Leaside Memorial CommunityGardens Arena to accommodate an additional ice pad.",404,0.0,2012-04-26,11 223813,Building Additions/Alterations,M4G,0,Inspection, ,MILLWOOD,1073,RD,Recreational
48507,2011-06-21,,Seven storey condo with 172 units and two levels of underground parking - Phantom Dev.,723.5,0.0,2013-11-25,11 223964,New Building,M2N,0,Inspection, ,SPRING GARDEN,399,AVE,Apartment Building
48508,2011-06-24,,"Proposal to construct a new (48) storey condominium building with (490) units, (5) levels of underground parking, (1) floor of ground floor retail shell space for Block A 520m2 only- Phase 1.",52 ,,2013-09-05,11 226957,New Building,M8V,0,Inspection,W,LAKE SHORE,2200,BLVD,Apartment Building
48509,2011-06-29,,Proposed new two storey elementary school building on site of existing demolished elementary school.  ROLL 4498-2CC-COL4-ROW3,0,370.0,2012-08-22,11 229770,New Building,M8W,0,Inspection, ,COULES,20,CRT,Elementary School
48510,2011-06-30,,"This is for the construction of a new two storey carhouse building for the Toronto Transit Commission(TTC). The building will be 23,675 sm. .
Separate sprinkler permit required - charged on this permit.",9035.13,0.0,2016-02-03,11 230682,New Building,   ,0,Inspection,E,LAKE SHORE,1313,BLVD,Industrial
48511,2011-07-05,2017-10-17,"PHASE 1 APPLICATION  - permit to construct new 25 storey mixed use building with 8 storey podium, retail / commercial on ground floor and 2 levels of underground parking. 364 units - 628 bicycle parking spaces.",1344,,2013-02-01,11 232379,New Building,M5T,0,Closed,E,DUNDAS,591,ST,Mixed Use/Res w Non Res
48512,2011-07-07,2017-11-29,"Proposal to construct a 36 sty condo with retail on ground floor, office on 2nd floor, and 5 levels of below grade parking.  410 residential units.  Alternative Solution 13-121369 for combustible cladding.",475,0.0,2013-07-22,11 234039,New Building,M5V,0,Closed, ,PETER,117,ST,Mixed Use/Res w Non Res
48513,2011-07-08,2013-07-24,"Proposal to construct an additional 3 floors over existing 3 storey office building.  Only shell to be constructed, interior permits to be applied for at a later date.",371,554.0,2011-10-27,11 234821,Building Additions/Alterations,M5A,0,Closed,E,KING,333,ST,Office
48514,2011-07-12,2016-08-29,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking",591,,2013-10-25,11 236661,New Building,   ,0,Closed, ,ESTHER SHINER,72,BLVD,Apartment Building
48515,2014-12-22,,Revise proposed roof top paving to new Green Roof - Central Square Podium,1114,0.0,2015-10-30,11 239542,Building Additions/Alterations,M3J,1,Revision Issued, ,KEELE,4700,ST,College/Trade/Tech School/Training Cent.
48516,2011-07-25,,Proposed 12 storey (and mechanical penthouse level) mixed-use residential condominium building with 280 residential units and 999.78m2 of retail space. (Phase 1),191.6,,2014-04-04,11 245016,New Building,M6S,0,Inspection,W,BLOOR,2490,ST,Apartment Building
48517,2011-08-02,2016-06-14,"21 storey residential building with an 8 storey residential podium containing 435 dwelling units, ground floor mixed uses and four levels of underground parking",1093,0.0,2014-10-28,11 249770,New Building,   ,0,Closed,W,LAWRENCE,800,AVE,Mixed Use/Res w Non Res
48518,2011-08-09,,Proposed new two storey detached dwelling with rear yard detached garage.,66,,2011-09-27,11 253977,New Houses,M6H,0,Inspection, ,REGAL,85,RD,SFD - Detached
48519,2011-08-25,,"Proposal to construct a 29 sty condo with commercial at grade, 2 levels of below grade parking, and 364 residential units. Note: This permit does not include the above-grade portion of the library block.",692.0,296.3,2013-04-04,11 263561,New Building,   ,0,Inspection, ,FORT YORK,170,BLVD,Mixed Use/Res w Non Res
48520,2011-09-13,,"Residences of Avonshire Inc. Superstructural residential building 21-storeys, 284 units  (Building C) with 8 storey link , 3 levels u/g parking.",2336.37,,2013-06-20,11 273461,New Building,   ,0,Inspection, ,HARRISON GARDEN,120,BLVD,Apartment Building
48521,2011-09-14,,"Residences of Avonshire - Superstructe residential building 16 -storeys, 193 units  (Building D) 

For drawings, refer to Building Permit 11- 273461 ( Building C )",2353,0.0,2013-06-20,11 274541,New Building,   ,0,Inspection, ,HARRISON GARDEN,120,BLVD,Apartment Building
48522,2011-09-16,,"PLEASE SEE RELATED ZONING AND PLANNING FOLDERS UNDER 24 BATHURST ST. 09-188168-03 
Permit to construct new mixed use building retail at grade and residential above - 28 Storeys, 420 Residential units plus one guest suite, (408 Condo Suites with 12 Town homes).  5 levels below grade parking, 385 parking spaces( 335 Residential 50 Visitor) 250 Residential Bicycle Parking spaces - 40 Visitor Parking Spaces. - ",593.93,0.0,2013-05-31,11 276573,New Building,   ,0,Inspection, ,IANNUZZI,75,ST,Mixed Use/Res w Non Res
48523,2011-09-22,,Proposal to construct a 9 sty hospital with 3 levels of below grade parking.  Womens College.  PHASE 2,1060.6,,2013-03-05,11 279729,New Building,M5S,0,Inspection, ,GRENVILLE,76,ST,Hospital
48524,2011-09-22,2015-02-20,construct a new one storey elementary school Ecole Elementairede Laure-Riese with a Day Nursery,700,,2012-07-31,11 279925,New Building,   ,0,Closed, ,ALTON TOWERS,0,CRCL,Elementary School
48525,2011-09-23,,"Parkway Forest Reurbanization ( Emerald City Condos) new 29 storey residential condominium 404 units,building A5/A6 over 4 levels of below grade parking.",952,0.0,2013-11-29,11 280530,New Building,M2J,0,Inspection, ,PARKWAY FOREST,100,DR,Apartment Building
48526,2011-09-30,2017-02-28,Waterpark Phase III -Erect a new 30 storey non-residential building complete with 2 levels of retail at and above grade and office above. Proposed would connect to the Phase 1 and 2 lands being 10-20 Bays Street.  Pedestrian connection to connect to ACC and over lakeshore boulevard to follow under separate permit,4363,0.0,2013-07-26,11 284988,New Building,   ,0,Closed, ,HARBOUR,85,ST,Multiple Use/Non Residential
48527,2011-10-04,2015-11-13,"New 40 storey mixed use building with retail at grade (305m2), 2nd and 3rd floor offices (1464m2), 429 residential units above (27222m2), 108 parking spaces in 5 levels below grade parking (5893m2), mechanical service space (1343m2), with sprinklers throughout the building (36227). See 10-304143 for Site Plan Approval, and 10 239523 for Rezoning application.",63.01,0.0,2013-09-04,11 287084,New Building,M5V,0,Closed,W,ADELAIDE,328,ST,Mixed Use/Res w Non Res
48528,2011-10-05,,"proposed 44 storey condominium with 434 residential units, w/ retail on ground floor, 5 levels of underground parking PHASE 2",2086.,0.0,2014-03-20,11 287641,New Building,M8V,0,Inspection,W,LAKE SHORE,2200,BLVD,Apartment Building
48529,2011-10-06,,Proposed construction of a new (2) storey elementary school with a daycare centre on a vacant lot.,,330.4,2012-07-31,11 288197,New Building,M9V,0,Inspection, ,THISTLE DOWN,30,BLVD,Elementary School
48530,2011-10-06,,"Proposal to construct a 11 storey residential builidng with 89 dwelling units.Total 28 parking spaces provided (including 5 off-site parking spaces). See 3 demo permits (508, 512, and 516 wellington St W).  Lot comprised of 508, 512 and 516  Wellington St. W.",175.9,,2013-05-21,11 288242,New Building,M5V,0,Inspection,W,WELLINGTON,508,ST,Apartment Building
48531,2011-10-17,2016-04-19,"18 storey apartment building with 209 suites, two levels of underground parking garages linked to 20 units of three storey townhouses  
",248,227.0,2013-01-21,11 293926,New Building,   ,0,Closed, ,CANTERBURY,68,PL,Apartment Building
48532,2011-10-18,2017-03-08,Proposal to construct new 10 storey residential dwelling with 177 residential units and two below grade parking levels.,300,,2013-01-22,11 294699,New Building,M5A,0,Closed, ,BERKELEY,132,ST,Apartment Building
48533,2011-10-19,,"To construct new 10 storey residential building and 39 storey mixed use building with commercial uses on the ground floor, 516 units (Building A and Building B). 
Foundation drawings in the Kingsway Room
",1087,0.0,2014-11-13,11 295644,New Building,M8V,0,Inspection,W,LAKE SHORE,2157,BLVD,Apartment Building
48534,2011-10-26,,"Proposal to construct new 17-storey mixed-use building consisting of underground parking (3223.4m2), 132 residential units (10704.49m2), retail (362.33m2), mechanical space (883.73m2), with sprinklers included throughout the building (14272.73m2).  Also see STE files 08-186000 for rezoning, and 08-186022 for site plan approval.",181.27,0.0,2015-02-25,11 299749,New Building,M5A,0,Inspection,E,KING,251,ST,Mixed Use/Res w Non Res
48535,2011-11-15,2015-07-27,"New Building -8 storey (plus mechanical) Student Centre for Ryerson University, with retail at and below grade. Proposal includes the construction of an above grade encroachment into the City-owned O'Keefe laneway to permit a bridge connection to the existing second and third floor level of the Ryerson University library building at 350 Victoria Street. ",889.5,0.0,2012-10-31,11 309981,New Building,M5B,0,Closed, ,YONGE,341,ST,University
48536,2011-11-15,2014-03-25,construct two  storey office building BLD B,240.52,140.52,2012-07-17,11 310205,New Building,M1L,0,Closed, ,BERTRAND,30,AVE,Multiple Use/Non Residential
48537,2011-11-17,,"Proposal to construct a mixed use building comprising of one 16 storey and one 11 storey tower, and 6 levels below grade parking, which includes four levels (P1, P1 Mezz, P2 and P3) commercial parking garage. Total 408 residential dwelling units.  (This includes three additional floors added as per by-law 1116-2013 applied for Dec/13). Public Pool On The Roof Require Separate Permit.
(Note-see active stand alone Shoring permit and STR 00 CP)",1225.3,,2015-11-10,11 311255,New Building,M5V,0,Inspection,W,KING,621,ST,Mixed Use/Res w Non Res
48538,2011-11-18,,"Emerald City Developent lll ( Building A1 / A3 on Parkway Forest ) 25 Storey Residential Building over 4 levels of below garde parking, total 316 new residential condominium units.",489,0.0,2014-05-09,11 311907,New Building,M2J,0,Inspection, ,GEORGE HENRY,130,BLVD,Apartment Building
48539,2011-11-18,2018-07-10,"addition, interior alterations to school",1197.00,,2012-06-18,11 312272,Building Additions/Alterations,M1E,0,Closed, ,MANSE,270,RD,Elementary School
48540,2011-11-21,,"This is for the construction of a mixed use condominium building consisting of eight (8) storey's, with retail on the ground floor and two levels of below grade parking. 
BIN 2269",356,0.0,2012-11-13,11 312940,New Building,M6J,0,Inspection, ,GLADSTONE,8,AVE,Apartment Building
48541,2011-12-01,,Proposal to construct a 31 sty condo with 5 levels of below grade parking.,380,0.0,2013-10-22,11 319306,New Building,M5R,0,Inspection, ,DAVENPORT,32,RD,Apartment Building
48542,2011-12-02,2020-11-10,"Proposed is a 10 storey mixed-use building with 197 residential units with retail at-grade and below grade parking. 1994-2008 YONGE ST, 17 GLEBE ROAD WEST.  NEW ADDRESS - 23 GLEBE ROAD WEST.",429.78,0.0,2014-03-19,11 319757,New Building,M5P,0,Closed,W,GLEBE,17,RD,Mixed Use/Res w Non Res
48543,2011-12-02,2014-01-21,Construct new retail store *Lowes* .,0,364.8,2012-06-14,11 320212,New Building,M9P,0,Closed, ,RESOURCES,50,RD,Retail Store
48544,2011-12-07,,This is for a new seven (7) storey residential condominium with three (3) below grade parking levels. This building will have 19 units. please refer to planning folders associated with this address. The new address of the building will be 36 Haazelton Avenue.,82,82.0,2016-01-19,11 322222,New Building,M5R,0,Inspection, ,HAZELTON,34,AVE,Apartment Building
48545,2011-12-12,2013-11-27,Three storey elementary school connected to a one storey kindergarten classroom pod - New St. Edward Catholic Elementary School ,0,460.8,2012-10-16,11 324279,New Building,M2N,0,Closed, ,BOTHAM,1,RD,Elementary School
48546,2011-12-13,,"Block 33: This is for a new condominium with 943 units with one tower at 41 storeys located at the southeast is known as tower AA and one tower of 39 storeys located northwest on the property and known as Tower BB. This building will have four(4) levels of below grade parking and the ground floor of both towers will be commercial space.  
Interior Fitout and Cladding Permit under 13-241121",693,1039.0,2015-04-22,11 325405,New Building,   ,0,Inspection, ,BREMNER,511,BLVD,Mixed Use/Res w Non Res
48547,2011-12-16,,permit to construct new 5 storey residential building with 75 units - 2 levels below grade parking - 67 parking spaces - 77 bicycle parking spaces. - see 09 108744 STE 19 SA,497,,2012-12-12,11 327014,New Building,M6H,0,Inspection, ,DOVERCOURT,707,RD,Apartment Building
48548,2011-12-16,,".3
Proposal to construct a 25 Storey (+ Mech. Penthouse) residential tower, 3 levels of below grade parking, and  296 residential units. There will be no Non-Residential uses.
",607.69,,2013-10-23,11 327064,New Building,   ,0,Inspection, ,SIMCOE,210,ST,Apartment Building
48549,2011-12-16,2020-09-29,"Erect a new apartment building 17 stories in height complete with 214 units, 12 for rental purposes and 20 3-storey townhouse dwelling units fronting onto Duplex Ave. A three level below grade parking facility containing 272 parking spaces is to be constructed to serve the development. 
",445,0.0,2014-02-14,11 327297,New Building,M5P,0,Closed, ,BERWICK,54,AVE,Apartment Building
48550,2011-12-16,,Proposed construction of one 42 storey 428 unit apartment buiding with 5 levels of underground parking garage and commercil area on ground floor (Phase 3).,220,0.0,2013-10-25,11 327513,New Building,M8V,0,Inspection,W,LAKE SHORE,2200,BLVD,Apartment Building
48551,2011-12-21,,Three storey addition to existing retail and office complex - Yonge Eglinton Centre,257.58,,2013-01-29,11 329274,Building Additions/Alterations,M4P,0,Inspection, ,YONGE,2300,ST,Multiple Use/Non Residential
48552,2011-12-21,,Construct a new 9 storey residential condominium complete with ground floor retail space. A total of 195 units are to be provided. ,508.38,,2013-12-23,11 329361,New Building,M5S,0,Inspection, ,BATHURST,783,ST,Mixed Use/Res w Non Res
48553,2011-12-22,,Proposal to demolish existing building and construct new Transformer Station for Toronto Hydro Electric. The two storeys building is comprise of offices with three storey of mechanical equipment below grade. [See 255 Bremner Blvd. for SPA. 255 Bremner Blvd. lot has been severed] (Precinct Agreements),1269.24,,2014-06-27,11 329842,New Building,   ,0,Inspection, ,REES,25,ST,Other
48554,2011-12-22,,Proposal to construct a 8 storey condo with ground floor commercial and 2 levels of underground parking.  70 residential units.,277.32,0.0,2014-01-09,11 330105,New Building,M6K,0,Inspection,W,QUEEN,1205,ST,Mixed Use/Res w Non Res
48555,2011-12-23,2017-09-05,Proposal to construct new 8 storey mixed use building with retail area on ground floor and 74 rasidential apartment units.,349,,2014-06-04,11 330479,New Building,M8Z,0,Closed, ,THE QUEENSWAY,760, ,Mixed Use/Res w Non Res
48556,2011-12-23,2017-04-25,Proposal to construct a 9 sty student residence and a 2 sty community sports facility with 1 level of below grade parking.  PAN-AM.  BLOCKS 1 & 14.,3290,0.0,2014-12-11,11 330588,New Building,M5A,0,Closed,E,FRONT,475,ST,Multiple Use/Non Residential
48557,2011-12-23,2017-05-18,Proposal to construct a 10 sty residential building with 1 level of below grade parking.  108 units. Affordable Housing.  PAN-AM.  BLOCKS 2 & 3.,504,,2014-03-11,11 330642,New Building,M5A,0,Closed,E,FRONT,475,ST,Apartment Building
48558,2011-12-23,2017-05-19,Proposal to construct a 12 sty residential building with ground floor retail and 1 level of below grade parking.  145 units. Affordable Housing.  PAN-AM.  BLOCK 15.,540,0.0,2014-03-11,11 330653,New Building,M5A,0,Closed,E,FRONT,475,ST,Mixed Use/Res w Non Res
48559,2011-12-28,2013-10-11,construct a proposed new 2 storey elementary school and daycare,379.20,0.0,2012-03-19,11 331342,New Building,M1C,0,Closed, ,MEADOWVALE,29,RD,Elementary School
48560,2011-12-29,,"Proposal to construct a 41 sty mixed use building consisting of a condo (floors 9-39 with 344 units), Hotel (ground-8th & roof top amenities), ground floor restaurant, and 6 levels of below grade parking.",397.5,278.64,2014-08-26,11 331561,New Building,M5V,0,Inspection, ,BLUE JAYS,56,WAY,Mixed Use/Res w Non Res
48561,2015-04-02,,Revision to add 3 addtional residential floors to mixed-use building currently under construction,303.5,94.0,2016-05-20,11 331561,New Building,M5V,1,Revision Issued, ,BLUE JAYS,56,WAY,Mixed Use/Res w Non Res
48562,2012-01-12,,"Proposal to construct a 32 sty condo with commercial at grade, 232 dwelling units, and 4 levels of below grade parking.",36.5,0.0,2014-07-28,12 105190,New Building,M5V,0,Inspection, ,CHARLOTTE,11,ST,Mixed Use/Res w Non Res
48563,2012-01-16,2015-03-09,Three storey clubhouse - Rosedale Golf Association Ltd.,184.9,304.3,2012-06-05,12 106788,New Building,M4N,0,Closed, ,MOUNT PLEASANT,1901,RD,Club
